epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.41,1.43854,1.76313,1.5732,0.94951,0.61976,0.79301,0.22688,2.5054,2.10386,2.18327,0.0676875,0.000326389,0.000326389
2,223.804,0.952,0.69071,1.21401,0.93974,0.94188,0.96393,0.76183,0.78588,0.97074,1.06175,0.0346875,0.000659676,0.000659676
3,331.495,0.8809,0.60794,1.18575,0.9833,0.95517,0.98093,0.75762,0.86212,0.54367,1.14984,0.00168724,0.000992793,0.000992793
4,440.191,0.87016,0.57467,1.18784,0.9768,0.9438,0.97911,0.84884,0.55588,0.49981,0.96182,0.000999423,0.000999423,0.000999423
5,548.367,0.82195,0.53479,1.16186,0.85982,0.88273,0.94405,0.7907,0.66482,0.72557,1.05969,0.000998984,0.000998984,0.000998984
6,657.767,0.81346,0.50721,1.15485,0.9734,0.93417,0.96909,0.86135,0.48749,0.45683,0.9264,0.000998413,0.000998413,0.000998413
7,767.699,0.79848,0.50331,1.1499,0.99236,0.97655,0.98559,0.86427,0.52963,0.34852,0.92996,0.000997715,0.000997715,0.000997715
8,876.865,0.78623,0.4937,1.13958,0.99678,0.97862,0.99053,0.83356,0.65666,0.35865,0.97865,0.000996891,0.000996891,0.000996891
9,985.589,0.77934,0.48213,1.14427,0.99253,0.96578,0.98324,0.87201,0.48814,0.35953,0.93178,0.000995941,0.000995941,0.000995941
10,1093.78,0.74216,0.46542,1.1235,0.9939,0.97364,0.98637,0.92548,0.36919,0.32844,0.88501,0.000994916,0.000994916,0.000994916
11,1202.52,0.74922,0.45734,1.11985,0.99453,0.9753,0.9893,0.92636,0.40118,0.29662,0.89015,0.000993726,0.000993726,0.000993726
12,1312.49,0.72908,0.44822,1.11026,0.99268,0.97385,0.98693,0.92553,0.39303,0.29785,0.88645,0.000992411,0.000992411,0.000992411
13,1422.27,0.72542,0.45563,1.11368,0.99468,0.97966,0.99116,0.90178,0.43361,0.29139,0.89751,0.000990973,0.000990973,0.000990973
14,1531.2,0.72545,0.45221,1.10176,0.98797,0.97171,0.98643,0.92893,0.37412,0.28984,0.89556,0.000989412,0.000989412,0.000989412
15,1640.28,0.71373,0.44558,1.10702,0.99388,0.97778,0.9916,0.9235,0.38404,0.26716,0.88834,0.000987727,0.000987727,0.000987727
16,1751.4,0.69389,0.43774,1.08864,0.98492,0.96243,0.9824,0.9105,0.39817,0.31624,0.88378,0.00098592,0.00098592,0.00098592
